Experiment,Train Accuracy,Test Accuracy,Class 1 Precision,Class 1 Recall,Class 2 Precision,Class 2 Recall,Class 3 Precision,Class 3 Recall,Class 4 Precision,Class 4 Recall
1,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
2,0.6783859368757491,0.6335329341317365,0.796,0.767,0.648,0.701,0.52,0.539,0.405,0.144
3,0.675189772273272,0.6341317365269461,0.796,0.767,0.647,0.7,0.521,0.556,0.409,0.087
4,0.6783859368757491,0.6329341317365269,0.796,0.767,0.647,0.7,0.52,0.539,0.405,0.144
5,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
6,0.675189772273272,0.6341317365269461,0.796,0.767,0.647,0.7,0.521,0.556,0.409,0.087
7,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
8,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
9,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
10,0.6783859368757491,0.6347305389221557,0.803,0.767,0.648,0.701,0.521,0.543,0.405,0.144
