Experiment,Train Accuracy,Test Accuracy,Class 1 Precision,Class 1 Recall,Class 2 Precision,Class 2 Recall,Class 3 Precision,Class 3 Recall,Class 4 Precision,Class 4 Recall
1,1.0,0.5473053892215569,0.664,0.696,0.591,0.562,0.455,0.476,0.291,0.288
2,1.0,0.5401197604790419,0.669,0.704,0.592,0.558,0.43,0.453,0.279,0.279
3,1.0,0.5377245508982036,0.658,0.696,0.588,0.556,0.433,0.457,0.277,0.269
4,1.0,0.5359281437125748,0.647,0.684,0.58,0.549,0.441,0.465,0.303,0.288
5,1.0,0.5425149700598803,0.679,0.69,0.586,0.569,0.441,0.457,0.269,0.269
6,1.0,0.5311377245508982,0.668,0.678,0.574,0.542,0.429,0.455,0.304,0.327
7,1.0,0.5407185628742515,0.678,0.687,0.586,0.567,0.436,0.453,0.274,0.279
8,1.0,0.5353293413173653,0.67,0.696,0.58,0.556,0.43,0.446,0.276,0.279
9,1.0,0.5407185628742515,0.672,0.704,0.587,0.55,0.442,0.463,0.277,0.298
10,1.0,0.5413173652694611,0.669,0.693,0.584,0.554,0.445,0.469,0.286,0.288
