Experiment,Train Accuracy,Test Accuracy,Class 1 Precision,Class 1 Recall,Class 2 Precision,Class 2 Recall,Class 3 Precision,Class 3 Recall,Class 4 Precision,Class 4 Recall
1,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
2,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
3,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
4,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
5,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
6,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
7,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
8,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
9,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
10,0.6628046344386735,0.6353293413173653,0.81,0.764,0.627,0.718,0.531,0.531,0.769,0.096
